codigoDep,gln,dependencia,cadena,zona
4571,7701001045719,TURBO CARULLA ARMENIA,TURBO CARULLA,Zona 0
4572,7701001045726,TURBO CARULLA DOSQUEBRADAS,TURBO CARULLA,Zona 0
4573,7701001045733,TURBO CARULLA ALAMEDA,TURBO CARULLA,Zona 0
4575,7701001045757,TURBO CARULLA IBAGUE,TURBO CARULLA,Zona TC
4576,7701001045764,TURBO CARULLA BAVARIA,TURBO CARULLA,Zona 0
4577,7701001045771,TURBO CARULLA VILLAVICENCIO,TURBO CARULLA,Zona TC
4578,7701001045788,TURBO CARULLA QUINTA CAMACHO,TURBO CARULLA,Zona TC
4581,7701001045818,TURBO CARULLA LA CABANA,TURBO CARULLA,Zona TC
4657,7701001146577,TURBO CARULLA CANAVERAL,TURBO CARULLA,Zona TC
4663,7701001046631,CARULLA EXPRESS 106 SQUARE,CARULLA EXPRESS,Zona CE
4664,7701001046648,CARULLA EXPRESS MARIANITO,CARULLA EXPRESS,Zona 0
4665,7701001046655,CARULLA EXPRESS EDS LA SIERRA,CARULLA EXPRESS,Zona 0
4668,7701001046686,CARULLA EXPRESS PE?ON,CARULLA EXPRESS,Zona CE
4669,7701001146690,CARULLA EXPRESS PARQUE POBLADO,CARULLA EXPRESS,Zona 0
4670,7701001246703,CARULLA GRAN VIA,ALMACENES CARULLA,Zona 0
4693,7701001046938,CARULLA EXPRESS SAN PATRICIO,CARULLA EXPRESS,Zona CE
4754,7701001247540,EXITO PUERTO GAITAN,ALMACENES EXITO,Zona E
4767,7701001047676,EXITO GRANADA,ALMACENES EXITO,Zona E
4776,7701001047768,CARULLA EXPRESS LA AMERICA,CARULLA EXPRESS,Zona 0
4777,7701001047775,CARULLA EXPRESS NUTIBARA,CARULLA EXPRESS,Zona 0
4778,7701001047782,CARULLA EXPRESS LAURELES,CARULLA EXPRESS,Zona 0
4780,7701001247809,CARULLA LA MESA,ALMACENES CARULLA,Zona C
4781,7701001047812,CARULLA LA MARIA,ALMACENES CARULLA,Zona 0
4783,7701001047836,CARULLA CASTILLA,ALMACENES CARULLA,Zona 0
4799,7701001047997,CARULLA PASOANCHO,ALMACENES CARULLA,Zona 0
4800,7701001480008,CARULLA CIUDAD DEL MAR,ALMACENES CARULLA,Zona 0
4801,7701001480107,CARULLA VIVA PALMAS,ALMACENES CARULLA,Zona 0
4803,7701001480305,CARULLA AUTOPISTA 116,ALMACENES CARULLA,Zona C
4804,7701001480404,CARULLA BELLAVISTA,ALMACENES CARULLA,Zona 0
4805,7701001480503,CARULLA SAN MARCEL,ALMACENES CARULLA,Zona 0
4806,7701001480602,CARULLA ISLA NATURA,ALMACENES CARULLA,Zona C
4809,7701001480909,CARULLA PRIMAVERA URBANA,ALMACENES CARULLA,Zona C
4811,7701001481104,CARULLA PEREIRA CERRITOS,ALMACENES CARULLA,Zona 0
4812,7701001481203,CARULLA PEREIRA PINARES,ALMACENES CARULLA,Zona 0
4813,7701001481302,CARULLA BACATA,ALMACENES CARULLA,Zona C
4814,7701001481401,CARULLA SMARTMARKET,ALMACENES CARULLA,Zona C
4816,7701001481609,CARULLA MALL PLAZA BUENAVISTA,ALMACENES CARULLA,Zona 0
4817,7701001481708,CARULLA PLAZA CLARO,ALMACENES CARULLA,Zona C
4818,7701001481807,CARULLA PRADERA DE POTOSI,ALMACENES CARULLA,Zona C
4821,7701001482101,CARULLA EXPRESS CALLE MONEDA,CARULLA EXPRESS,Zona 0
4822,7701001482200,CARULLA EXPRESS CALLE 109,CARULLA EXPRESS,Zona CE
4823,7701001482309,CARULLA EXPRESS PORTON RETIRO,CARULLA EXPRESS,Zona 0
4824,7701001048246,CARULLA EXPRESS RICAURTE,CARULLA EXPRESS,Zona CE
4825,7701001482507,CARULLA EXPRESS SIBERIA,CARULLA EXPRESS,Zona CE
4826,7701001482606,CARULLA EXPRESS LAS VELAS,CARULLA EXPRESS,Zona 0
4827,7701001040271,CARULLA EXPRESS PRESENTE STA M,CARULLA EXPRESS,Zona 0
4828,7701001048284,CARULLA EXPRESS CALLE 90,CARULLA EXPRESS,Zona CE
4829,7701001048291,CARULLA EXPRESS DIVINA EUCARIS,CARULLA EXPRESS,Zona 0
4830,7701001248301,CARULLA EXPRESS SAN AGUSTIN,CARULLA EXPRESS,Zona 0
4831,7701001048314,CARULLA EXPRESS COSTA AZUL,CARULLA EXPRESS,Zona 0
4832,7701001048321,CARULLA EXPRESS CALLE 4TA,CARULLA EXPRESS,Zona 0
4833,7701001048338,CARULLA EXPRESS RODADERO SUR,CARULLA EXPRESS,Zona 0
4836,7701001048369,CARULLA EXPRESS PONTEVEDRA,CARULLA EXPRESS,Zona CE
4837,7701001048376,CARULLA EXPRESS CIELO MAR,CARULLA EXPRESS,Zona 0
4838,7701001048383,CARULLA EXPRESS MALL CABECERAS,CARULLA EXPRESS,Zona 0
4839,7701001048390,CARULLA EXPRESS CARRERA 7,CARULLA EXPRESS,Zona CE
4841,7701001484105,TURBO CARULLA EL LAGO,TURBO CARULLA,Zona TC
4842,7701001484204,TURBO CARULLA CHAPINERO,TURBO CARULLA,Zona TC
4843,7701001484303,TURBO CARULLA PARQUE 93,TURBO CARULLA,Zona TC
4844,7701001484402,TURBO CARULLA SAN PATRICIO,TURBO CARULLA,Zona TC
4845,7701001484501,TURBO CARULLA LIMONAR,TURBO CARULLA,Zona 0
4846,7701001484600,TURBO CARULLA CEDRITOS,TURBO CARULLA,Zona TC
4847,7701001484709,TURBO CARULLA COUNTRY,TURBO CARULLA,Zona TC
4848,7701001048482,TURBO CARULLA NIZA,TURBO CARULLA,Zona TC
4849,7701001048499,TURBO CARULLA COLINA,TURBO CARULLA,Zona TC
4851,7701001048512,TURBO CARULLA ISERRA 100,TURBO CARULLA,Zona TC
4852,7701001048529,TURBO CARULLA PALERMO,TURBO CARULLA,Zona TC
4854,7701001048543,TURBO CARULLA TESORO,TURBO CARULLA,Zona 0
4857,7701001485706,TURBO CARULLA BARRANCAS,TURBO CARULLA,Zona TC
4859,7701001485904,TURBO CARULLA USAQU?N CLLE 120,TURBO CARULLA,Zona TC
4869,7701001248691,CARULLA EXPRESS CARRERA 15,CARULLA EXPRESS,Zona CE
4873,7701001048734,CARULLA EXPRESS GUATAPE,CARULLA EXPRESS,Zona 0
4874,7701001048741,CARULLA EXPRESS PASADENA,CARULLA EXPRESS,Zona CE
4875,7701001048758,CARULLA EXPRESS SALITRE,CARULLA EXPRESS,Zona CE
4876,7701001048765,CARULLA EXPRESS CORFERIAS,CARULLA EXPRESS,Zona CE
4877,7701001048772,CARULLA EXPRESS EDS EL RETIRO,CARULLA EXPRESS,Zona 0
4878,7701001048789,CARULLA EXPRESS LOMA ESCOBERO,CARULLA EXPRESS,Zona 0
4883,7701001048833,CAVA CARULLA RAMBLAS,ALMACENES CARULLA,Zona 0
4094,7701001040943,EXITO LA FONTANA,ALMACENES EXITO,Zona 0
4098,7701001040981,EXITO PARQUE DE LA CEJA,ALMACENES EXITO,Zona 0
4142,7701001041421,EXITO.COM CARIBE,ALMACENES EXITO,Zona 0
4143,7701001041438,EXITO.COM YUMBO,ALMACENES EXITO,Zona 0
4145,7701001041452,CARULLA.COM VEGAS,ALMACENES CARULLA,Zona 0
4146,7701001041469,CARULLA.COM CARIBE,ALMACENES CARULLA,Zona 0
4148,7701001414805,CARULLA.COM YUMBO,ALMACENES EXITO,Zona 0
4149,7701001041490,BAZAR CARULLA ES CAFE,ALMACENES CARULLA,Zona 0
4198,7701001041988,EXITO.COM FUNZA,ALMACENES EXITO,Zona E
4199,7701001041995,CARULLA.COM FUNZA,ALMACENES CARULLA,Zona C
4206,7701001420608,CARULLA GUAYACANES,ALMACENES CARULLA,Zona 0
4234,7701001423401,CARULLA ARMENIA NORTE,ALMACENES CARULLA,Zona 0
4239,7701001423906,CARULLA ARMENIA PLAZA,ALMACENES CARULLA,Zona 0
4284,7701001042848,EXITO.COM MONTERIA,ALMACENES EXITO,Zona 0
4289,7701001042893,CARULLA.COM MONTERIA,ALMACENES CARULLA,Zona 0
4296,7701001042961,EXITO.COM PEREIRA,ALMACENES EXITO,Zona 0
4298,7701001042985,CARULLA.COM PEREIRA,ALMACENES CARULLA,Zona 0
4332,7701001043326,EXITO.COM GIRON,ALMACENES EXITO,Zona E
4333,7701001043333,CARULLA.COM GIRON,ALMACENES CARULLA,Zona C
4358,7701001043586,BOUTIQUE EXITO MOLINOS,ALMACENES EXITO,Zona 0
4434,7701001044347,MARKETPLACE EXITO.COM,ALMACENES EXITO,Zona 0
4666,7701001046662,CARULLA EXPRESS CALLE 97,CARULLA EXPRESS,Zona CE
4667,7701001046679,CARULLA EXPRESS CALLE 60,CARULLA EXPRESS,Zona CE
4723,7701001472300,CARULLA CASTILLA BOGOTA,ALMACENES CARULLA,Zona C
4782,7701001047829,CARULLA EXPRESS LA FLORA,CARULLA EXPRESS,Zona 0
